zh;en;carbohydrates;energy;fat;fat_saturated;fiber;proteins;salt;sodium;sugars
琼脂;Agar;0;160;0;;74,1;2,4;;130;
龙舌兰糖浆;Agave syrup;73;295;0;;0;0,2;;;
阿尔卑斯通心粉（已烹制）;Macaroni from the alps, prepared;19;185;9;5,3;1,7;6,1;6,7;440;1,4
阿玛雷蒂杏仁饼干;Amaretti (Almond cookie);76;455;12;0,9;3,2;7,6;2;36;75,7
糖水菠萝（罐头）;Pineapple, sweetened, canned;20;90;0;0;1,3;0,4;0;1,8;20,2
新鲜菠萝;Pineapple, fresh;11;55;0;0;1,4;0,4;1,4;2;11,3
无糖菠萝（罐头）;Pineapple, unsweetened, canned;11;55;0;0;1,4;0,4;0;2;11,3
炖苹果（沥干，无添加糖）;Apple, stewed, drained (without addition of sugar);15;75;0;0,1;2,8;0,4;1;5,3;15,3
去皮苹果干;Apple, peeled, dried;63;295;2;0,5;9,2;1,5;10;15;60
新鲜苹果;Apple, fresh;12;55;0;0,1;2,1;0,3;0,8;4;11,6
苹果派（酥皮，烘烤）;Apple pie, baked (with puff pastry);17;145;7;3,9;1,7;2,3;3;94;9,5
苹果派（蛋糕面团，烘烤）;Apple pie, baked (with cake dough);19;135;5;2,6;1,8;2,7;3,1;100;9,5
加糖果酱（罐头）;Applesauce, sweetened, canned;21;90;0;0,1;1,9;0,3;0,7;3,6;20,4
无糖果酱（罐头）;Applesauce, unsweetened, canned;12;55;0;0,1;2,1;0,3;0,8;4;11,6
苹果汁;Apple juice;11;45;0;0;0;0,1;2;2,3;10,3
苹果酒（4 vol%）;Cider, 4 vol%;3;35;0;0;0;0;10;4;2,5
苹果酒（6.2 vol%）;Cider, 6.2 vol%;7;65;0;0;0;0;10;2;7,3
阿彭策尔奶酪（至少15%脂肪干物质）;Appenzeller, at least 15% fidm;0;240;11;6,8;0;33,8;35;810;0
阿彭策尔奶酪（至少45%脂肪干物质）;Appenzeller, at least 45% fidm;0;390;32;19;0;24,8;8,4;620;0
炖杏（沥干，无添加糖）;Apricot, stewed, drained (without addition of sugar) ;13;60;0;0;2,6;1;0,6;2,5;12,5
杏干;Apricot, dried;48;275;1;0;17,7;5;2,7;11;43,3
糖水杏（罐头）;Apricot, sweetened, canned;19;85;0;0;1,9;0,7;0,4;1,8;19
新鲜杏;Apricot, raw;10;50;0;0;2,1;0,8;0,5;2;10
无糖杏（罐头）;Apricot, unsweetened, canned;10;50;0;0;2,1;0,8;0,5;2;10
杏派（酥皮，烘烤）;Apricot pie, baked (with puff pastry);15;140;7;3,8;1,7;2,6;2,8;93;8,4
杏派（蛋糕面团，烘烤）;Apricot pie, baked (with cake dough);18;130;5;2,6;1,8;3;2,9;100;8,4
炖茄子（无油无盐）;Eggplant, stewed (without addition of fat and salt);4;30;0;0;3;1,2;0,2;3,8;3,5
生茄子;Eggplant, raw;3;25;0;0;2,4;1;0,2;3;2,8
茄子皮卡塔（已烹制）;Eggplant piccata, prepared;9;170;12;4,5;2,3;5,3;7,9;260;2,9
面包糠茄子片（已烹制）;Eggplant slices, breaded, prepared;15;140;6;0,7;3;4,8;4,9;290;3
冷切肉（平均）;Cold cuts (average);1;290;26;9,7;0;14,1;0,6;790;0,7
新鲜牛油果;Avocado, fresh;1;145;14;2,9;3;1,8;1;7;0,8
压榨烘焙酵母;Yeast (baking), pressed;1;100;1;0,2;6,9;16,7;0,6;22;0
巴米炒面（已烹制）;Bami Goreng, prepared;14;140;3;0,4;0,9;14;1,6;400;1,5
香蕉干（香蕉片）;Banana, dried (banana chips);81;370;2;0,7;7,6;3,9;0;3;65,3
香蕉干;Banana, dried;60;275;1;0,4;5,5;3;8,1;8;43,7
新鲜香蕉;Banana, raw;21;95;0;0,1;2;1,1;2;1;17,2
新鲜罗勒;Basil, raw;5;50;1;0,1;3,1;3,1;0,9;9;5
巴塞尔利口乐饼;Basler Leckerli (Swiss biscuit from Basel);75;405;8;0,6;3,2;6,9;0,6;2,9;52
烤猪肉香肠（生）;Bratwurst, fried sausage, pork, raw;0;245;19;7,1;0;16,9;1,3;1530;0,2
农家面包;Farmers' bread;45;240;2;0,7;4,2;9;3,7;700;2,5
农家风味萨拉米;Salami Farmer style;1;535;50;18,7;0;20,6;0,9;1580;0,8
农家风味许布利希香肠;Peasant's Schüblig;0;525;49;18,8;0;21,3;1;1590;0,3
农家风味培根（生，烟熏）;Bacon Farmer style, raw, smoked;1;520;49;0;0;19,1;0;0;0
核桃;Walnut;7;745;71;6,3;6,7;15,9;2;0,3;2
